Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
3.05176e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.0328674, IMG_DATA, , , , , , , , , , Image_00001 
0.0672607, IMG_DATA, , , , , , , , , , Image_00002 
0.10025, IMG_DATA, , , , , , , , , , Image_00003 
0.133667, IMG_DATA, , , , , , , , , , Image_00004 
0.126907, IMU_DATA, 0.888125, -0.44625, 0.3325, -186, -1655, -16453, , , , , 
0.127213, IMU_DATA, -0.328125, -0.555625, -0.2275, -149, -1616, -16411, , , , , 
0.127502, IMU_DATA, 1.43937, -0.888125, -0.34125, -116, -1608, -16428, , , , , 
0.127808, IMU_DATA, -0.109375, -0.223125, -0.2275, -20, -1621, -16394, , , , , 
0.128113, IMU_DATA, -0.328125, -0.3325, 0.44625, -70, -1663, -16389, , , , , 
0.128403, IMU_DATA, 1.10687, -0.555625, -0.118125, -135, -1621, -16392, , , , , 
0.128708, IMU_DATA, 0.223125, -1.22062, -0.34125, -143, -1665, -16387, , , , , 
0.129013, IMU_DATA, 0.665, -0.223125, 0.21875, -78, -1621, -16378, , , , , 
0.129303, IMU_DATA, 0.77875, -0.3325, 0.669375, -82, -1705, -16442, , , , , 
0.129608, IMU_DATA, 0.56, -0.665, -0.678125, -179, -1694, -16382, , , , , 
0.129898, IMU_DATA, 1.33, -0.555625, -0.34125, -132, -1528, -16440, , , , , 
0.130203, IMU_DATA, 1.11125, 0.0, 0.669375, -112, -1643, -16426, , , , , 
0.130508, IMU_DATA, 0.555625, -0.441875, -1.015, -90, -1586, -16429, , , , , 
0.130814, IMU_DATA, 0.77875, -0.77875, 0.109375, -121, -1635, -16420, , , , , 
0.131104, IMU_DATA, 0.888125, -0.77875, -0.450625, -116, -1607, -16420, , , , , 
0.131409, IMU_DATA, 0.004375, -0.9975, 0.21875, -39, -1616, -16468, , , , , 
0.131699, IMU_DATA, 0.9975, 0.0, -1.23812, -136, -1699, -16511, , , , , 
0.132004, IMU_DATA, 0.44625, -0.888125, 0.555625, 5, -1648, -16472, , , , , 
0.132309, IMU_DATA, 0.555625, -0.109375, 0.3325, -115, -1670, -16417, , , , , 
0.132614, IMU_DATA, 0.669375, -0.555625, -1.015, -65, -1626, -16408, , , , , 
0.132904, IMU_DATA, 0.11375, 0.0, 0.3325, -95, -1571, -16423, , , , , 
0.133209, IMU_DATA, 1.22062, -0.9975, -0.118125, -66, -1619, -16421, , , , , 
0.133499, IMU_DATA, 0.336875, -0.9975, -0.564375, -192, -1593, -16431, , , , , 
0.133804, IMU_DATA, 0.669375, -0.3325, 0.555625, -146, -1653, -16434, , , , , 
0.134109, IMU_DATA, 0.223125, -0.555625, -0.004375, -114, -1617, -16426, , , , , 
0.134415, IMU_DATA, 0.9975, -1.22062, -1.23812, -77, -1655, -16455, , , , , 
0.134705, IMU_DATA, 0.336875, -0.555625, 0.77875, -83, -1586, -16471, , , , , 
0.13501, IMU_DATA, 0.77875, 0.223125, 0.555625, -60, -1654, -16434, , , , , 
0.1353, IMU_DATA, 1.22062, -1.44375, -1.575, -96, -1615, -16365, , , , , 
0.135605, IMU_DATA, 0.3325, -0.77875, 1.68, -114, -1636, -16371, , , , , 
