Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
4.07095, IMU_DATA, 0.60375, -0.6475, -0.048125, -63, -1628, -16413, , , , , 
4.07125, IMU_DATA, 0.63875, -0.651875, -0.030625, -133, -1690, -16420, , , , , 
4.07154, IMU_DATA, 0.65625, -0.651875, -0.06125, -204, -1630, -16470, , , , , 
4.07185, IMU_DATA, 0.634375, -0.63875, -0.06125, -93, -1652, -16350, , , , , 
4.07215, IMU_DATA, 0.634375, -0.665, -0.065625, -156, -1654, -16440, , , , , 
4.07244, IMU_DATA, 0.660625, -0.65625, -0.07, -205, -1638, -16389, , , , , 
4.07274, IMU_DATA, 0.643125, -0.6475, -0.0875, -70, -1602, -16418, , , , , 
4.07305, IMU_DATA, 0.634375, -0.660625, -0.07, -115, -1647, -16389, , , , , 
4.07335, IMU_DATA, 0.643125, -0.65625, -0.091875, -86, -1589, -16377, , , , , 
4.07364, IMU_DATA, 0.6475, -0.634375, -0.100625, -163, -1683, -16382, , , , , 
4.07395, IMU_DATA, 0.616875, -0.6825, -0.091875, -142, -1655, -16371, , , , , 
4.07425, IMU_DATA, 0.608125, -0.63, -0.09625, -147, -1598, -16350, , , , , 
4.07454, IMU_DATA, 0.60375, -0.678125, -0.105, -92, -1690, -16336, , , , , 
4.07484, IMU_DATA, 0.60375, -0.6475, -0.109375, -131, -1626, -16373, , , , , 
4.07515, IMU_DATA, 0.564375, -0.65625, -0.13125, -156, -1667, -16417, , , , , 
4.07545, IMU_DATA, 0.555625, -0.669375, -0.109375, -135, -1627, -16398, , , , , 
4.07574, IMU_DATA, 0.56, -0.67375, -0.118125, -144, -1674, -16405, , , , , 
4.07605, IMU_DATA, 0.53375, -0.6475, -0.1225, -45, -1584, -16381, , , , , 
4.07635, IMU_DATA, 0.529375, -0.7, -0.109375, -83, -1643, -16329, , , , , 
4.07664, IMU_DATA, 0.511875, -0.660625, -0.126875, -83, -1594, -16405, , , , , 
4.07694, IMU_DATA, 0.49875, -0.669375, -0.11375, -98, -1626, -16345, , , , , 
4.07725, IMU_DATA, 0.49, -0.695625, -0.126875, -161, -1605, -16365, , , , , 
4.07755, IMU_DATA, 0.4725, -0.678125, -0.135625, -103, -1609, -16419, , , , , 
4.07784, IMU_DATA, 0.46375, -0.695625, -0.100625, -130, -1644, -16396, , , , , 
4.07815, IMU_DATA, 0.459375, -0.678125, -0.1225, -98, -1576, -16422, , , , , 
4.07845, IMU_DATA, 0.4375, -0.69125, -0.13125, -93, -1623, -16453, , , , , 
4.07874, IMU_DATA, 0.4375, -0.686875, -0.11375, -61, -1670, -16376, , , , , 
4.07904, IMU_DATA, 0.433125, -0.713125, -0.126875, -78, -1701, -16434, , , , , 
4.07935, IMU_DATA, 0.42, -0.665, -0.109375, -126, -1633, -16355, , , , , 
4.07965, IMU_DATA, 0.42, -0.7175, -0.135625, -79, -1722, -16462, , , , , 
4.07994, IMU_DATA, 0.389375, -0.686875, -0.105, -22, -1614, -16402, , , , , 
4.08025, IMU_DATA, 0.398125, -0.695625, -0.144375, -128, -1642, -16403, , , , , 
4.08055, IMU_DATA, 0.380625, -0.69125, -0.118125, -56, -1592, -16407, , , , , 
4.08084, IMU_DATA, 0.398125, -0.704375, -0.109375, -50, -1569, -16386, , , , , 
4.08114, IMU_DATA, 0.35875, -0.6825, -0.126875, -28, -1630, -16438, , , , , 
4.08145, IMU_DATA, 0.37625, -0.735, -0.126875, -156, -1557, -16405, , , , , 
4.08175, IMU_DATA, 0.345625, -0.660625, -0.105, -189, -1550, -16420, , , , , 
4.08204, IMU_DATA, 0.37625, -0.713125, -0.144375, 16, -1589, -16441, , , , , 
4.08235, IMU_DATA, 0.3325, -0.6825, -0.109375, -112, -1620, -16462, , , , , 
4.08265, IMU_DATA, 0.35, -0.669375, -0.1225, -78, -1638, -16414, , , , , 
4.08294, IMU_DATA, 0.354375, -0.70875, -0.13125, -102, -1654, -16437, , , , , 
4.08325, IMU_DATA, 0.336875, -0.660625, -0.118125, -87, -1597, -16470, , , , , 
4.08355, IMU_DATA, 0.354375, -0.67375, -0.09625, -122, -1602, -16504, , , , , 
4.08385, IMU_DATA, 0.319375, -0.665, -0.135625, -112, -1607, -16457, , , , , 
4.08414, IMU_DATA, 0.35, -0.651875, -0.118125, -195, -1552, -16478, , , , , 
4.08445, IMU_DATA, 0.32375, -0.660625, -0.13125, -88, -1602, -16400, , , , , 
4.08475, IMU_DATA, 0.354375, -0.651875, -0.109375, -54, -1688, -16416, , , , , 
4.08504, IMU_DATA, 0.315, -0.616875, -0.11375, -25, -1582, -16388, , , , , 
4.08535, IMU_DATA, 0.34125, -0.63875, -0.118125, -116, -1586, -16423, , , , , 
4.08565, IMU_DATA, 0.328125, -0.616875, -0.11375, -69, -1613, -16386, , , , , 
4.08595, IMU_DATA, 0.336875, -0.616875, -0.118125, -12, -1657, -16443, , , , , 
4.08624, IMU_DATA, 0.310625, -0.595, -0.100625, -88, -1588, -16391, , , , , 
4.08655, IMU_DATA, 0.35, -0.625625, -0.14875, -172, -1641, -16385, , , , , 
