Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.0367826, IMU_DATA, 0.555625, -0.660625, -0.00875, 16321, -15, -363, , , , , 
0.0415826, IMU_DATA, 0.51625, -0.67375, -0.074375, 16313, -14, -380, , , , , 
0.0463826, IMU_DATA, 0.476875, -0.72625, -0.14875, 16317, -18, -379, , , , , 
0.0511826, IMU_DATA, 0.485625, -0.756875, -0.1225, 16310, -37, -395, , , , , 
0.0559826, IMU_DATA, 0.581875, -0.76125, -0.0525, 16362, -56, -427, , , , , 
0.0607826, IMU_DATA, 0.595, -0.7175, -0.065625, 16388, -24, -414, , , , , 
0.0655826, IMU_DATA, 0.51625, -0.69125, -0.135625, 16431, -25, -414, , , , , 
0.0703826, IMU_DATA, 0.5775, -0.84875, -0.223125, 16461, -22, -416, , , , , 
0.0751826, IMU_DATA, 0.63875, -0.88375, -0.223125, 16456, -6, -414, , , , , 
0.0799826, IMU_DATA, 0.56875, -0.730625, -0.161875, 16411, -16, -400, , , , , 
0.0847826, IMU_DATA, 0.34125, -0.5425, -0.14875, 16373, 0, -390, , , , , 
0.0895826, IMU_DATA, 0.21875, -0.4725, -0.170625, 16334, 17, -392, , , , , 
0.0943826, IMU_DATA, 0.223125, -0.441875, -0.1575, 16318, 15, -376, , , , , 
0.0991825, IMU_DATA, 0.315, -0.546875, -0.1225, 16323, 7, -376, , , , , 
0.103983, IMU_DATA, 0.520625, -0.77875, -0.13125, 16339, 9, -388, , , , , 
0.108783, IMU_DATA, 0.590625, -0.783125, -0.1225, 16372, -12, -388, , , , , 
0.113583, IMU_DATA, 0.503125, -0.67375, -0.126875, 16408, -3, -357, , , , , 
0.106483, IMG_DATA, , , , , , , , , , Image_00001 
0.118383, IMU_DATA, 0.48125, -0.69125, -0.14, 16436, 2, -377, , , , , 
0.123183, IMU_DATA, 0.39375, -0.713125, -0.100625, 16417, 9, -391, , , , , 
0.127983, IMU_DATA, 0.398125, -0.721875, -0.06125, 16414, -24, -392, , , , , 
0.132783, IMU_DATA, 0.433125, -0.704375, -0.0525, 16359, -19, -403, , , , , 
0.137583, IMU_DATA, 0.41125, -0.713125, -0.0525, 16357, -28, -388, , , , , 
0.142383, IMU_DATA, 0.415625, -0.730625, -0.083125, 16328, -24, -390, , , , , 
0.147183, IMU_DATA, 0.4375, -0.739375, -0.126875, 16342, 5, -403, , , , , 
0.151983, IMU_DATA, 0.46375, -0.69125, -0.135625, 16365, -15, -398, , , , , 
0.156783, IMU_DATA, 0.49, -0.67375, -0.126875, 16382, -28, -399, , , , , 
0.161583, IMU_DATA, 0.511875, -0.70875, -0.105, 16396, -17, -400, , , , , 
0.166383, IMU_DATA, 0.511875, -0.7175, -0.091875, 16419, -4, -405, , , , , 
0.171183, IMU_DATA, 0.555625, -0.76125, -0.0875, 16398, 14, -422, , , , , 
0.175983, IMU_DATA, 0.62125, -0.791875, -0.07875, 16414, 5, -406, , , , , 
0.180783, IMU_DATA, 0.5075, -0.65625, -0.074375, 16401, -7, -401, , , , , 
0.185583, IMU_DATA, 0.41125, -0.58625, -0.118125, 16380, -13, -392, , , , , 
0.190383, IMU_DATA, 0.538125, -0.76125, -0.161875, 16367, -22, -377, , , , , 
0.195183, IMU_DATA, 0.58625, -0.86625, -0.1575, 16336, -3, -367, , , , , 
0.199983, IMU_DATA, 0.53375, -0.84, -0.14875, 16341, 14, -379, , , , , 
0.204783, IMU_DATA, 0.441875, -0.7, -0.09625, 16340, 16, -384, , , , , 
0.209583, IMU_DATA, 0.42875, -0.660625, -0.07, 16383, 14, -380, , , , , 
0.214383, IMU_DATA, 0.538125, -0.748125, -0.035, 16407, -20, -381, , , , , 
0.219182, IMU_DATA, 0.58625, -0.783125, -0.04375, 16398, 10, -382, , , , , 
0.206497, IMG_DATA, , , , , , , , , , Image_00002 
0.223983, IMU_DATA, 0.5075, -0.730625, -0.118125, 16421, -5, -378, , , , , 
0.228783, IMU_DATA, 0.4725, -0.70875, -0.153125, 16400, 2, -378, , , , , 
0.233582, IMU_DATA, 0.49, -0.765625, -0.118125, 16378, -10, -368, , , , , 
0.238383, IMU_DATA, 0.46375, -0.8225, -0.074375, 16370, -14, -376, , , , , 
0.243183, IMU_DATA, 0.503125, -0.774375, -0.07, 16365, -21, -379, , , , , 
0.247983, IMU_DATA, 0.5425, -0.704375, -0.100625, 16354, -35, -390, , , , , 
0.252783, IMU_DATA, 0.51625, -0.7175, -0.118125, 16354, -34, -374, , , , , 
0.257583, IMU_DATA, 0.5075, -0.70875, -0.0875, 16366, -28, -375, , , , , 
0.262383, IMU_DATA, 0.433125, -0.634375, -0.074375, 16388, -25, -376, , , , , 
0.267183, IMU_DATA, 0.46375, -0.669375, -0.083125, 16368, -31, -403, , , , , 
0.271983, IMU_DATA, 0.494375, -0.756875, -0.135625, 16416, -21, -393, , , , , 
0.276783, IMU_DATA, 0.503125, -0.783125, -0.1575, 16390, -1, -412, , , , , 
0.281583, IMU_DATA, 0.49875, -0.756875, -0.153125, 16395, -4, -404, , , , , 
0.286383, IMU_DATA, 0.555625, -0.765625, -0.144375, 16373, -8, -390, , , , , 
0.291183, IMU_DATA, 0.595, -0.826875, -0.1575, 16377, 0, -408, , , , , 
0.295982, IMU_DATA, 0.5075, -0.8225, -0.16625, 16355, 2, -410, , , , , 
0.300783, IMU_DATA, 0.389375, -0.756875, -0.214375, 16368, 8, -409, , , , , 
0.305583, IMU_DATA, 0.485625, -0.84, -0.2275, 16368, 18, -369, , , , , 
0.310382, IMU_DATA, 0.525, -0.84875, -0.1925, 16374, 6, -364, , , , , 
0.315183, IMU_DATA, 0.55125, -0.870625, -0.1575, 16376, -33, -374, , , , , 
0.319983, IMU_DATA, 0.625625, -0.84, -0.13125, 16387, -9, -359, , , , , 
0.324782, IMU_DATA, 0.511875, -0.669375, -0.11375, 16393, -21, -370, , , , , 
0.306488, IMG_DATA, , , , , , , , , , Image_00003 
