Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
0.0, IMG_DATA, , , , , , , , , , Image_00000 
-0.0309744, IMU_DATA, -4.31812, -1.295, 2.17875, 32764, 32764, -32764, , , , , 
-0.0261744, IMU_DATA, -17.8894, -6.77687, 9.48062, 16386, -43, -249, , , , , 
-0.0213744, IMU_DATA, 29.6931, -4.55, -19.355, 16359, -41, -231, , , , , 
-0.0165744, IMU_DATA, 111.65, -2.5025, -67.2656, 16372, 4, -188, , , , , 
-0.0117744, IMU_DATA, 141.378, -3.94187, -90.5887, 16377, 20, -189, , , , , 
-0.00697437, IMU_DATA, 104.545, -8.39562, -61.6744, 16382, 19, -162, , , , , 
-0.00217438, IMU_DATA, 26.4775, -9.06062, -11.5325, 16390, 26, -105, , , , , 
0.00262563, IMU_DATA, -6.41375, -3.8325, 6.02437, 16413, -40, -90, , , , , 
0.00742564, IMU_DATA, -6.09875, -0.4375, 4.1125, 16393, -39, -78, , , , , 
0.0122256, IMU_DATA, -0.84875, -0.013125, 0.765625, 16396, -110, -92, , , , , 
0.0170256, IMU_DATA, 0.931875, -0.455, -0.109375, 16387, -164, -76, , , , , 
0.0218256, IMU_DATA, 0.77875, -0.7, 0.105, 16390, -221, -94, , , , , 
0.0266256, IMU_DATA, 0.46375, -0.704375, 0.371875, 16383, -286, -98, , , , , 
0.0314256, IMU_DATA, 0.3675, -0.669375, 0.424375, 16381, -325, -131, , , , , 
0.0362256, IMU_DATA, 0.4025, -0.69125, 0.336875, 16372, -358, -140, , , , , 
0.0410256, IMU_DATA, 0.415625, -0.70875, 0.21875, 16391, -383, -165, , , , , 
0.0458256, IMU_DATA, 0.398125, -0.739375, 0.0875, 16366, -342, -216, , , , , 
0.0506256, IMU_DATA, 0.389375, -0.735, 0.0175, 16348, -544, -114, , , , , 
0.0554256, IMU_DATA, 0.529375, -0.77875, 0.074375, 16452, -525, -334, , , , , 
0.0602256, IMU_DATA, 0.573125, -0.634375, -0.245, 16286, -188, -247, , , , , 
0.0650256, IMU_DATA, 0.44625, -0.485625, -0.485625, 16425, -490, -68, , , , , 
0.0698256, IMU_DATA, 0.433125, -0.634375, -0.301875, 16492, -424, -232, , , , , 
0.0746256, IMU_DATA, 0.616875, -0.70875, -0.58625, 16359, -145, -348, , , , , 
0.0794256, IMU_DATA, 0.58625, -0.581875, -0.713125, 16411, -279, -80, , , , , 
0.0842256, IMU_DATA, 0.450625, -0.46375, -0.651875, 16352, -148, -20, , , , , 
0.0890256, IMU_DATA, 0.595, -0.6475, -0.74375, 16354, -44, -266, , , , , 
0.0938256, IMU_DATA, 0.651875, -0.791875, -0.65625, 16375, -105, -141, , , , , 
0.0986256, IMU_DATA, 0.459375, -0.60375, -0.5075, 16376, -72, -2, , , , , 
0.103426, IMU_DATA, 0.315, -0.51625, -0.590625, 16301, 187, -124, , , , , 
0.108226, IMU_DATA, 0.494375, -0.6825, -0.56, 16436, 39, -94, , , , , 
0.113026, IMU_DATA, 0.634375, -0.739375, -0.21875, 16461, -18, -45, , , , , 
0.105927, IMG_DATA, , , , , , , , , , Image_00001 
0.117826, IMU_DATA, 0.608125, -0.8225, -0.13125, 16400, 132, -113, , , , , 
0.122626, IMU_DATA, 0.590625, -0.879375, -0.14875, 16383, 123, -143, , , , , 
0.127426, IMU_DATA, 0.56, -0.818125, 0.0, 16419, -10, -83, , , , , 
0.132226, IMU_DATA, 0.555625, -0.7875, 0.214375, 16374, -43, -130, , , , , 
0.137026, IMU_DATA, 0.555625, -0.835625, 0.328125, 16355, -68, -235, , , , , 
0.141826, IMU_DATA, 0.546875, -0.914375, 0.385, 16399, -141, -205, , , , , 
0.146626, IMU_DATA, 0.5075, -0.879375, 0.336875, 16380, -163, -148, , , , , 
0.151426, IMU_DATA, 0.51625, -0.8225, 0.363125, 16392, -258, -229, , , , , 
0.156226, IMU_DATA, 0.5075, -0.8575, 0.459375, 16413, -355, -303, , , , , 
0.161026, IMU_DATA, 0.4375, -0.91, 0.415625, 16453, -389, -248, , , , , 
0.165826, IMU_DATA, 0.450625, -0.95375, 0.28875, 16410, -420, -243, , , , , 
0.170626, IMU_DATA, 0.406875, -0.905625, 0.249375, 16419, -496, -240, , , , , 
0.175426, IMU_DATA, 0.2975, -0.791875, 0.293125, 16400, -576, -218, , , , , 
0.180226, IMU_DATA, 0.293125, -0.7175, 0.13125, 16354, -538, -199, , , , , 
0.185026, IMU_DATA, 0.315, -0.643125, -0.13125, 16348, -532, -214, , , , , 
0.189826, IMU_DATA, 0.258125, -0.63875, -0.249375, 16355, -561, -216, , , , , 
0.194626, IMU_DATA, 0.28, -0.721875, -0.354375, 16338, -541, -279, , , , , 
0.199426, IMU_DATA, 0.49, -0.735, -0.595, 16286, -392, -55, , , , , 
0.204226, IMU_DATA, 0.433125, -0.55125, -0.77875, 16349, -366, -84, , , , , 
0.209026, IMU_DATA, 0.319375, -0.665, -0.84, 16387, -264, -294, , , , , 
0.213826, IMU_DATA, 0.4375, -0.56875, -0.765625, 16469, -216, 22, , , , , 
0.218626, IMU_DATA, 0.450625, -0.49875, -0.70875, 16478, -219, -17, , , , , 
0.205902, IMG_DATA, , , , , , , , , , Image_00002 
0.223426, IMU_DATA, 0.354375, -0.669375, -0.72625, 16555, -165, -221, , , , , 
0.228226, IMU_DATA, 0.42, -0.6475, -0.826875, 16362, 31, 56, , , , , 
0.233026, IMU_DATA, 0.5425, -0.625625, -0.77, 16426, -114, -90, , , , , 
0.237826, IMU_DATA, 0.48125, -0.84, -0.625625, 16357, 12, -194, , , , , 
0.242626, IMU_DATA, 0.46375, -0.940625, -0.7875, 16248, 209, -66, , , , , 
0.247426, IMU_DATA, 0.468125, -0.958125, -0.765625, 16284, 201, -177, , , , , 
0.252226, IMU_DATA, 0.459375, -0.95375, -0.5075, 16327, 180, -129, , , , , 
0.257026, IMU_DATA, 0.49875, -0.975625, -0.328125, 16320, 317, -223, , , , , 
0.261826, IMU_DATA, 0.520625, -1.00187, -0.175, 16392, 263, -274, , , , , 
0.266626, IMU_DATA, 0.546875, -1.02375, 0.14875, 16462, 138, -166, , , , , 
0.271426, IMU_DATA, 0.56875, -1.04562, 0.301875, 16450, 154, -301, , , , , 
0.276226, IMU_DATA, 0.5425, -1.05875, 0.398125, 16475, 61, -360, , , , , 
0.281026, IMU_DATA, 0.5075, -0.8575, 0.5775, 16413, -52, -239, , , , , 
0.285826, IMU_DATA, 0.564375, -0.79625, 0.6475, 16380, -82, -265, , , , , 
0.290626, IMU_DATA, 0.65625, -0.875, 0.555625, 16311, -72, -340, , , , , 
0.295426, IMU_DATA, 0.669375, -0.835625, 0.60375, 16332, -219, -266, , , , , 
0.300226, IMU_DATA, 0.4375, -0.6825, 0.74375, 16306, -257, -258, , , , , 
0.305026, IMU_DATA, 0.398125, -0.56875, 0.695625, 16330, -259, -301, , , , , 
0.309826, IMU_DATA, 0.590625, -0.756875, 0.634375, 16373, -370, -254, , , , , 
0.314626, IMU_DATA, 0.555625, -0.791875, 0.704375, 16429, -472, -231, , , , , 
0.319426, IMU_DATA, 0.398125, -0.590625, 0.665, 16457, -498, -205, , , , , 
0.324226, IMU_DATA, 0.380625, -0.5425, 0.476875, 16479, -544, -179, , , , , 
0.305908, IMG_DATA, , , , , , , , , , Image_00003 
0.329026, IMU_DATA, 0.363125, -0.494375, 0.293125, 16474, -585, -164, , , , , 
0.333826, IMU_DATA, 0.406875, -0.42875, 0.074375, 16422, -541, -137, , , , , 
