Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.52588e-05, IMG_DATA, , , , , , , , , , Image_00000 
0.00637069, IMU_DATA, 0.643125, -0.844375, -1.71062, 16388, 296, -369, , , , , 
0.0111707, IMU_DATA, 0.67375, -0.809375, -1.70187, 16391, 416, -369, , , , , 
0.0159707, IMU_DATA, 0.735, -0.77875, -1.57937, 16410, 524, -388, , , , , 
0.0207707, IMU_DATA, 0.79625, -0.791875, -1.40875, 16391, 614, -396, , , , , 
0.0255707, IMU_DATA, 0.7525, -0.896875, -1.26437, 16410, 660, -430, , , , , 
0.0303707, IMU_DATA, 0.70875, -0.949375, -1.07625, 16379, 698, -462, , , , , 
0.0351707, IMU_DATA, 0.67375, -0.97125, -0.79625, 16398, 701, -516, , , , , 
0.0399707, IMU_DATA, 0.595, -0.9975, -0.520625, 16354, 673, -580, , , , , 
0.0447707, IMU_DATA, 0.538125, -1.05, -0.23625, 16347, 611, -622, , , , , 
0.0495707, IMU_DATA, 0.525, -1.00625, 0.00875, 16331, 547, -698, , , , , 
0.0543707, IMU_DATA, 0.520625, -0.905625, 0.179375, 16356, 402, -687, , , , , 
0.0591707, IMU_DATA, 0.520625, -0.81375, 0.310625, 16425, 274, -845, , , , , 
0.0639707, IMU_DATA, 0.503125, -0.595, 0.385, 16252, 389, -729, , , , , 
0.0687707, IMU_DATA, 0.616875, -0.48125, 0.77875, 16235, 395, -716, , , , , 
0.0735707, IMU_DATA, 0.774375, -0.55125, 1.855, 16709, -625, -810, , , , , 
0.0783707, IMU_DATA, 0.77, -0.503125, 1.6975, 16625, -791, -740, , , , , 
0.0831707, IMU_DATA, 0.546875, -0.310625, -0.595, 16035, 391, -586, , , , , 
0.0879707, IMU_DATA, 0.3325, -0.266875, -1.25562, 16187, 31, -597, , , , , 
0.0810471, IMG_DATA, , , , , , , , , , Image_00001 
0.0927707, IMU_DATA, 0.380625, -0.1925, 0.791875, 16609, -1092, -542, , , , , 
0.0975707, IMU_DATA, 0.599375, -0.21, 1.4875, 16377, -553, -497, , , , , 
0.102371, IMU_DATA, 0.538125, -0.249375, 0.28875, 16207, -149, -354, , , , , 
0.107171, IMU_DATA, 0.48125, -0.21875, 0.039375, 16440, -716, -288, , , , , 
0.111971, IMU_DATA, 0.56875, -0.21, 0.249375, 16454, -620, -320, , , , , 
0.116771, IMU_DATA, 0.51625, -0.249375, -0.23625, 16283, -141, -179, , , , , 
0.121571, IMU_DATA, 0.455, -0.258125, -0.39375, 16361, -324, -58, , , , , 
0.126371, IMU_DATA, 0.60375, -0.34125, 0.013125, 16489, -516, -179, , , , , 
0.131171, IMU_DATA, 0.686875, -0.42875, -0.240625, 16417, -220, -122, , , , , 
0.135971, IMU_DATA, 0.56, -0.49875, -0.945, 16334, -66, 2, , , , , 
0.140771, IMU_DATA, 0.503125, -0.7, -1.17687, 16377, -96, -119, , , , , 
