Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
16, IMG_DATA, , , , , , , , , , Image_00000 
1858.0, IMU_DATA, 23781, -2889, -9836, 1350, 16223, -723, , , , , 
6658.0, IMU_DATA, 6114, -1198, -1503, 1346, 16228, -712, , , , , 
11458.0, IMU_DATA, -1366, -102, 952, 1354, 16214, -727, , , , , 
16258.0, IMU_DATA, -1359, 32, 559, 1344, 16235, -715, , , , , 
21058.0, IMU_DATA, -206, -82, 32, 1366, 16227, -729, , , , , 
25858.0, IMU_DATA, 217, -147, -90, 1353, 16235, -724, , , , , 
30658.0, IMU_DATA, 203, -157, -44, 1366, 16228, -715, , , , , 
35458.0, IMU_DATA, 132, -147, -10, 1369, 16233, -718, , , , , 
40258.0, IMU_DATA, 106, -141, -8, 1374, 16224, -751, , , , , 
45058.0, IMU_DATA, 129, -173, -19, 1356, 16227, -751, , , , , 
49858.0, IMU_DATA, 148, -195, -22, 1345, 16223, -729, , , , , 
54658.0, IMU_DATA, 119, -165, -8, 1366, 16218, -732, , , , , 
59458.0, IMU_DATA, 105, -137, -4, 1371, 16248, -752, , , , , 
64258.0, IMU_DATA, 95, -107, -4, 1358, 16230, -751, , , , , 
69058.0, IMU_DATA, 91, -103, -9, 1364, 16211, -730, , , , , 
73858.0, IMU_DATA, 91, -106, -20, 1372, 16204, -740, , , , , 
78658.0, IMU_DATA, 91, -117, -18, 1368, 16228, -740, , , , , 
83458.0, IMU_DATA, 103, -129, -12, 1348, 16226, -741, , , , , 
88258.0, IMU_DATA, 93, -113, -20, 1371, 16222, -752, , , , , 
93058.0, IMU_DATA, 70, -107, -29, 1341, 16199, -726, , , , , 
97858.0, IMU_DATA, 63, -103, -20, 1351, 16222, -757, , , , , 
102658.0, IMU_DATA, 70, -107, -16, 1391, 16236, -734, , , , , 
107458.0, IMU_DATA, 87, -132, -12, 1371, 16221, -736, , , , , 
112258.0, IMU_DATA, 97, -139, -11, 1367, 16234, -732, , , , , 
