Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
34726, IMG_DATA, , , , , , , , , , Image_00001 
40570.0, IMU_DATA, -213, -90, 51, 316, -731, -16424, , , , , 
45370.0, IMU_DATA, 204, -155, -91, 312, -736, -16406, , , , , 
50170.0, IMU_DATA, 190, -162, -64, 331, -728, -16423, , , , , 
54970.0, IMU_DATA, 122, -166, -22, 311, -742, -16413, , , , , 
59770.0, IMU_DATA, 102, -168, -12, 289, -754, -16444, , , , , 
64570.0, IMU_DATA, 107, -165, -16, 306, -742, -16444, , , , , 
69370.0, IMU_DATA, 113, -165, -29, 299, -745, -16424, , , , , 
74170.0, IMU_DATA, 120, -164, -36, 309, -735, -16434, , , , , 
78970.0, IMU_DATA, 109, -153, -33, 300, -736, -16430, , , , , 
83770.0, IMU_DATA, 76, -126, -19, 310, -724, -16432, , , , , 
88570.0, IMU_DATA, 81, -116, -14, 304, -720, -16440, , , , , 
93370.0, IMU_DATA, 98, -132, -7, 302, -723, -16442, , , , , 
98170.0, IMU_DATA, 100, -147, 1, 292, -723, -16438, , , , , 
102970.0, IMU_DATA, 88, -136, -4, 304, -713, -16421, , , , , 
107770.0, IMU_DATA, 74, -126, -15, 343, -734, -16439, , , , , 
112570.0, IMU_DATA, 89, -137, -24, 298, -726, -16444, , , , , 
117370.0, IMU_DATA, 99, -147, -33, 320, -729, -16438, , , , , 
122170.0, IMU_DATA, 96, -151, -31, 311, -725, -16438, , , , , 
126970.0, IMU_DATA, 99, -155, -23, 305, -734, -16448, , , , , 
131770.0, IMU_DATA, 94, -140, -13, 291, -735, -16422, , , , , 
136570.0, IMU_DATA, 78, -122, 1, 312, -753, -16458, , , , , 
141370.0, IMU_DATA, 67, -115, 6, 312, -732, -16422, , , , , 
134727, IMG_DATA, , , , , , , , , , Image_00002 
146170.0, IMU_DATA, 79, -128, -3, 292, -759, -16440, , , , , 
150970.0, IMU_DATA, 100, -159, -12, 282, -752, -16443, , , , , 
155770.0, IMU_DATA, 111, -155, -9, 314, -732, -16436, , , , , 
160570.0, IMU_DATA, 110, -139, -19, 316, -744, -16425, , , , , 
165370.0, IMU_DATA, 112, -139, -14, 306, -735, -16436, , , , , 
170170.0, IMU_DATA, 109, -149, 3, 326, -717, -16442, , , , , 
174970.0, IMU_DATA, 105, -150, -1, 315, -742, -16456, , , , , 
179770.0, IMU_DATA, 111, -152, -10, 303, -723, -16449, , , , , 
184570.0, IMU_DATA, 110, -154, -16, 319, -724, -16429, , , , , 
189370.0, IMU_DATA, 98, -142, -13, 320, -723, -16430, , , , , 
194170.0, IMU_DATA, 90, -130, -11, 312, -714, -16437, , , , , 
198970.0, IMU_DATA, 100, -150, -15, 316, -719, -16456, , , , , 
203770.0, IMU_DATA, 140, -189, -22, 321, -720, -16436, , , , , 
208570.0, IMU_DATA, 107, -176, -12, 288, -729, -16447, , , , , 
213370.0, IMU_DATA, 81, -168, -16, 301, -728, -16442, , , , , 
218170.0, IMU_DATA, 94, -164, -24, 301, -742, -16454, , , , , 
222970.0, IMU_DATA, 104, -150, -18, 302, -726, -16451, , , , , 
227770.0, IMU_DATA, 110, -150, -22, 315, -758, -16442, , , , , 
232570.0, IMU_DATA, 111, -160, -30, 302, -735, -16436, , , , , 
237370.0, IMU_DATA, 117, -169, -29, 303, -740, -16463, , , , , 
242170.0, IMU_DATA, 95, -144, -23, 314, -750, -16440, , , , , 
246970.0, IMU_DATA, 87, -133, -21, 296, -738, -16419, , , , , 
234707, IMG_DATA, , , , , , , , , , Image_00003 
251770.0, IMU_DATA, 97, -120, -18, 295, -754, -16422, , , , , 
256570.0, IMU_DATA, 101, -125, -5, 325, -755, -16457, , , , , 
261370.0, IMU_DATA, 97, -150, -3, 309, -722, -16439, , , , , 
266170.0, IMU_DATA, 92, -170, -12, 298, -746, -16426, , , , , 
270970.0, IMU_DATA, 103, -166, -23, 316, -716, -16445, , , , , 
275770.0, IMU_DATA, 99, -164, -24, 328, -718, -16444, , , , , 
280570.0, IMU_DATA, 94, -167, -25, 303, -733, -16445, , , , , 
285370.0, IMU_DATA, 95, -167, -23, 311, -725, -16437, , , , , 
290170.0, IMU_DATA, 97, -156, -19, 295, -721, -16436, , , , , 
294970.0, IMU_DATA, 97, -148, -20, 304, -722, -16455, , , , , 
299770.0, IMU_DATA, 85, -162, -19, 310, -718, -16452, , , , , 
304570.0, IMU_DATA, 86, -169, -18, 290, -719, -16426, , , , , 
309370.0, IMU_DATA, 89, -149, -12, 298, -714, -16446, , , , , 
314170.0, IMU_DATA, 100, -146, -13, 329, -729, -16446, , , , , 
318970.0, IMU_DATA, 100, -146, -17, 310, -733, -16452, , , , , 
323770.0, IMU_DATA, 99, -136, -12, 305, -720, -16458, , , , , 
328570.0, IMU_DATA, 113, -142, -19, 313, -736, -16430, , , , , 
333370.0, IMU_DATA, 97, -135, -18, 301, -748, -16446, , , , , 
338170.0, IMU_DATA, 100, -141, -11, 306, -736, -16454, , , , , 
342970.0, IMU_DATA, 96, -157, -23, 300, -744, -16455, , , , , 
347770.0, IMU_DATA, 88, -143, -27, 328, -721, -16450, , , , , 
352570.0, IMU_DATA, 89, -122, -15, 310, -740, -16450, , , , , 
334708, IMG_DATA, , , , , , , , , , Image_00004 
357370.0, IMU_DATA, 94, -113, -14, 300, -767, -16429, , , , , 
362170.0, IMU_DATA, 97, -123, -7, 316, -734, -16439, , , , , 
366970.0, IMU_DATA, 106, -148, -12, 310, -722, -16440, , , , , 
371770.0, IMU_DATA, 112, -145, -28, 305, -746, -16445, , , , , 
376570.0, IMU_DATA, 112, -142, -28, 323, -724, -16429, , , , , 
381370.0, IMU_DATA, 114, -158, -22, 318, -710, -16452, , , , , 
386170.0, IMU_DATA, 108, -162, -17, 323, -733, -16446, , , , , 
390970.0, IMU_DATA, 111, -151, -18, 294, -736, -16434, , , , , 
395770.0, IMU_DATA, 105, -133, -10, 311, -722, -16454, , , , , 
400570.0, IMU_DATA, 84, -117, -15, 316, -707, -16446, , , , , 
