Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
-23718.0, IMU_DATA, -194, -401, 347, 32764, -32764, -32764, , , , , 
-18918.0, IMU_DATA, 112, -1707, 367, 58, 16287, -750, , , , , 
-14118.0, IMU_DATA, 9110, -524, -8184, 42, 16288, -753, , , , , 
-9318.0, IMU_DATA, 26112, 377, -20551, 35, 16273, -783, , , , , 
-4518.0, IMU_DATA, 32352, -1591, -19876, 3, 16272, -801, , , , , 
282.0, IMU_DATA, 23828, -2712, -10372, -6, 16268, -818, , , , , 
5082.0, IMU_DATA, 6103, -1322, -1533, 15, 16277, -834, , , , , 
9882.0, IMU_DATA, -1399, -206, 1028, 7, 16280, -847, , , , , 
14682.0, IMU_DATA, -1376, -7, 600, -10, 16287, -842, , , , , 
19482.0, IMU_DATA, -197, -116, 43, 21, 16270, -851, , , , , 
24282.0, IMU_DATA, 228, -177, -96, 32, 16264, -838, , , , , 
29082.0, IMU_DATA, 200, -173, -59, -1, 16260, -822, , , , , 
33882.0, IMU_DATA, 124, -155, -20, 20, 16263, -849, , , , , 
38682.0, IMU_DATA, 82, -145, -22, 30, 16276, -817, , , , , 
43482.0, IMU_DATA, 80, -156, -24, 42, 16279, -815, , , , , 
48282.0, IMU_DATA, 93, -163, -12, 55, 16279, -816, , , , , 
53082.0, IMU_DATA, 100, -163, -8, 52, 16284, -789, , , , , 
57882.0, IMU_DATA, 119, -164, -11, 38, 16272, -761, , , , , 
62682.0, IMU_DATA, 119, -167, -8, 54, 16273, -766, , , , , 
67482.0, IMU_DATA, 114, -166, -7, 64, 16276, -782, , , , , 
72282.0, IMU_DATA, 107, -161, -3, 84, 16273, -761, , , , , 
77082.0, IMU_DATA, 109, -162, -6, 84, 16288, -757, , , , , 
81882.0, IMU_DATA, 105, -158, -14, 111, 16279, -764, , , , , 
86682.0, IMU_DATA, 100, -142, -12, 103, 16266, -771, , , , , 
91482.0, IMU_DATA, 99, -135, -11, 119, 16282, -787, , , , , 
96282.0, IMU_DATA, 118, -154, -23, 99, 16297, -796, , , , , 
101082.0, IMU_DATA, 117, -152, -31, 91, 16266, -802, , , , , 
105882.0, IMU_DATA, 122, -158, -26, 99, 16270, -789, , , , , 
110682.0, IMU_DATA, 144, -171, -26, 92, 16268, -795, , , , , 
115482.0, IMU_DATA, 128, -166, -29, 78, 16281, -784, , , , , 
120282.0, IMU_DATA, 112, -160, -35, 73, 16278, -794, , , , , 
113171, IMG_DATA, , , , , , , , , , Image_00001 
125082.0, IMU_DATA, 111, -156, -38, 76, 16249, -806, , , , , 
129882.0, IMU_DATA, 128, -152, -38, 56, 16264, -832, , , , , 
134682.0, IMU_DATA, 134, -160, -38, 33, 16275, -826, , , , , 
139482.0, IMU_DATA, 120, -169, -32, 29, 16278, -847, , , , , 
144282.0, IMU_DATA, 129, -165, -29, 20, 16278, -822, , , , , 
149082.0, IMU_DATA, 129, -166, -24, 7, 16273, -845, , , , , 
153882.0, IMU_DATA, 124, -168, -20, 10, 16274, -862, , , , , 
158682.0, IMU_DATA, 122, -159, -29, 11, 16277, -826, , , , , 
163482.0, IMU_DATA, 126, -147, -28, 32, 16266, -852, , , , , 
168282.0, IMU_DATA, 130, -150, -26, 42, 16267, -849, , , , , 
173082.0, IMU_DATA, 120, -168, -32, 18, 16258, -848, , , , , 
177882.0, IMU_DATA, 124, -177, -24, 27, 16276, -851, , , , , 
182682.0, IMU_DATA, 134, -174, -15, 48, 16271, -859, , , , , 
187482.0, IMU_DATA, 111, -160, -12, 43, 16259, -838, , , , , 
192282.0, IMU_DATA, 110, -163, -9, 49, 16259, -834, , , , , 
197082.0, IMU_DATA, 104, -165, -17, 78, 16278, -804, , , , , 
201882.0, IMU_DATA, 104, -160, -30, 61, 16273, -819, , , , , 
206682.0, IMU_DATA, 102, -162, -34, 85, 16278, -814, , , , , 
211482.0, IMU_DATA, 96, -154, -25, 69, 16256, -799, , , , , 
216282.0, IMU_DATA, 100, -148, -8, 64, 16256, -792, , , , , 
221082.0, IMU_DATA, 100, -147, -5, 70, 16282, -784, , , , , 
225882.0, IMU_DATA, 111, -166, -13, 96, 16259, -781, , , , , 
213183, IMG_DATA, , , , , , , , , , Image_00002 
230682.0, IMU_DATA, 123, -170, -22, 70, 16276, -765, , , , , 
235482.0, IMU_DATA, 135, -152, -31, 66, 16264, -779, , , , , 
240282.0, IMU_DATA, 130, -135, -25, 58, 16268, -793, , , , , 
245082.0, IMU_DATA, 123, -150, -15, 75, 16282, -777, , , , , 
249882.0, IMU_DATA, 115, -158, -7, 62, 16280, -781, , , , , 
254682.0, IMU_DATA, 121, -150, -9, 64, 16297, -778, , , , , 
