Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
3594.0, IMU_DATA, 106, -175, -7, 133, 16287, -340, , , , , 
8394.0, IMU_DATA, 114, -174, 1, 144, 16281, -334, , , , , 
13194.0, IMU_DATA, 128, -169, -4, 171, 16291, -365, , , , , 
17994.0, IMU_DATA, 116, -171, -14, 148, 16271, -362, , , , , 
22794.0, IMU_DATA, 116, -167, -18, 167, 16299, -331, , , , , 
27594.0, IMU_DATA, 117, -153, -15, 168, 16274, -340, , , , , 
32394.0, IMU_DATA, 104, -150, -14, 160, 16295, -336, , , , , 
37194.0, IMU_DATA, 98, -148, -7, 156, 16273, -349, , , , , 
41994.0, IMU_DATA, 107, -143, -13, 149, 16271, -333, , , , , 
46794.0, IMU_DATA, 119, -153, -23, 141, 16287, -346, , , , , 
51594.0, IMU_DATA, 129, -183, -28, 148, 16268, -345, , , , , 
56394.0, IMU_DATA, 92, -162, -33, 150, 16270, -343, , , , , 
61194.0, IMU_DATA, 74, -131, -30, 167, 16274, -347, , , , , 
65994.0, IMU_DATA, 101, -143, -36, 128, 16283, -348, , , , , 
70794.0, IMU_DATA, 111, -149, -37, 177, 16246, -364, , , , , 
75594.0, IMU_DATA, 115, -144, -29, 201, 16264, -364, , , , , 
80394.0, IMU_DATA, 114, -142, -27, 165, 16294, -353, , , , , 
85194.0, IMU_DATA, 113, -166, -24, 113, 16297, -366, , , , , 
78662, IMG_DATA, , , , , , , , , , Image_00001 
89994.0, IMU_DATA, 124, -181, -21, 159, 16282, -368, , , , , 
94794.0, IMU_DATA, 119, -158, -19, 145, 16279, -364, , , , , 
99594.0, IMU_DATA, 113, -147, -21, 145, 16281, -374, , , , , 
104394.0, IMU_DATA, 104, -161, -30, 146, 16270, -395, , , , , 
109194.0, IMU_DATA, 100, -166, -36, 141, 16279, -393, , , , , 
113994.0, IMU_DATA, 104, -159, -32, 133, 16285, -391, , , , , 
118794.0, IMU_DATA, 108, -152, -29, 126, 16271, -405, , , , , 
123594.0, IMU_DATA, 105, -165, -35, 125, 16281, -404, , , , , 
128394.0, IMU_DATA, 92, -169, -35, 163, 16294, -377, , , , , 
133194.0, IMU_DATA, 80, -162, -26, 128, 16274, -389, , , , , 
137994.0, IMU_DATA, 77, -159, -22, 119, 16276, -366, , , , , 
142794.0, IMU_DATA, 98, -164, -22, 147, 16289, -388, , , , , 
147594.0, IMU_DATA, 100, -147, -18, 177, 16264, -381, , , , , 
152394.0, IMU_DATA, 92, -123, -15, 158, 16291, -375, , , , , 
157194.0, IMU_DATA, 87, -128, -17, 126, 16284, -336, , , , , 
161994.0, IMU_DATA, 97, -152, -24, 155, 16281, -346, , , , , 
166794.0, IMU_DATA, 106, -167, -30, 149, 16289, -344, , , , , 
171594.0, IMU_DATA, 124, -192, -28, 140, 16286, -342, , , , , 
176394.0, IMU_DATA, 132, -206, -24, 154, 16276, -322, , , , , 
181194.0, IMU_DATA, 127, -194, -12, 160, 16285, -317, , , , , 
185994.0, IMU_DATA, 103, -164, -6, 180, 16258, -341, , , , , 
190794.0, IMU_DATA, 103, -162, -7, 140, 16284, -332, , , , , 
178663, IMG_DATA, , , , , , , , , , Image_00002 
195594.0, IMU_DATA, 118, -167, -12, 146, 16290, -340, , , , , 
200394.0, IMU_DATA, 117, -171, -26, 135, 16287, -322, , , , , 
205194.0, IMU_DATA, 119, -164, -29, 161, 16258, -321, , , , , 
209994.0, IMU_DATA, 123, -146, -22, 164, 16283, -318, , , , , 
214794.0, IMU_DATA, 107, -145, -14, 174, 16284, -320, , , , , 
219594.0, IMU_DATA, 96, -153, -21, 151, 16284, -326, , , , , 
224394.0, IMU_DATA, 110, -159, -20, 139, 16293, -345, , , , , 
229194.0, IMU_DATA, 120, -166, -33, 166, 16273, -368, , , , , 
233994.0, IMU_DATA, 112, -165, -47, 152, 16291, -361, , , , , 
238794.0, IMU_DATA, 116, -161, -38, 160, 16252, -354, , , , , 
243594.0, IMU_DATA, 127, -164, -28, 173, 16271, -357, , , , , 
248394.0, IMU_DATA, 114, -161, -20, 160, 16296, -356, , , , , 
253194.0, IMU_DATA, 88, -152, -17, 138, 16314, -354, , , , , 
257994.0, IMU_DATA, 81, -151, -22, 124, 16288, -361, , , , , 
262794.0, IMU_DATA, 70, -143, -20, 149, 16273, -391, , , , , 
267594.0, IMU_DATA, 86, -142, -18, 136, 16282, -383, , , , , 
272394.0, IMU_DATA, 122, -172, -13, 171, 16277, -382, , , , , 
277194.0, IMU_DATA, 137, -189, -11, 156, 16279, -372, , , , , 
281994.0, IMU_DATA, 135, -168, -16, 150, 16300, -377, , , , , 
286794.0, IMU_DATA, 131, -174, -26, 137, 16295, -359, , , , , 
291594.0, IMU_DATA, 118, -169, -31, 149, 16289, -352, , , , , 
296394.0, IMU_DATA, 94, -167, -23, 148, 16294, -351, , , , , 
278668, IMG_DATA, , , , , , , , , , Image_00003 
301194.0, IMU_DATA, 101, -184, -16, 107, 16298, -371, , , , , 
305994.0, IMU_DATA, 108, -186, -20, 143, 16268, -342, , , , , 
310794.0, IMU_DATA, 107, -170, -25, 169, 16272, -334, , , , , 
315594.0, IMU_DATA, 99, -160, -26, 145, 16274, -345, , , , , 
320394.0, IMU_DATA, 108, -164, -22, 139, 16274, -336, , , , , 
325194.0, IMU_DATA, 116, -171, -13, 179, 16270, -337, , , , , 
329994.0, IMU_DATA, 125, -163, -16, 172, 16276, -322, , , , , 
334794.0, IMU_DATA, 119, -164, -20, 174, 16285, -328, , , , , 
339594.0, IMU_DATA, 113, -163, -11, 164, 16276, -317, , , , , 
344394.0, IMU_DATA, 118, -162, -12, 190, 16264, -316, , , , , 
349194.0, IMU_DATA, 105, -144, -16, 164, 16280, -346, , , , , 
353994.0, IMU_DATA, 101, -151, -22, 130, 16318, -310, , , , , 
358794.0, IMU_DATA, 116, -176, -22, 148, 16289, -324, , , , , 
363594.0, IMU_DATA, 118, -173, -16, 164, 16283, -335, , , , , 
368394.0, IMU_DATA, 117, -157, -19, 129, 16288, -364, , , , , 
373194.0, IMU_DATA, 128, -141, -37, 158, 16278, -348, , , , , 
377994.0, IMU_DATA, 129, -156, -44, 153, 16279, -346, , , , , 
382794.0, IMU_DATA, 92, -166, -27, 151, 16278, -383, , , , , 
387594.0, IMU_DATA, 93, -164, -22, 146, 16290, -375, , , , , 
392394.0, IMU_DATA, 134, -174, -23, 169, 16271, -372, , , , , 
397194.0, IMU_DATA, 132, -170, -24, 131, 16285, -363, , , , , 
379279, IMG_DATA, , , , , , , , , , Image_00004 
401994.0, IMU_DATA, 103, -159, -20, 162, 16272, -391, , , , , 
406794.0, IMU_DATA, 103, -159, -19, 144, 16300, -386, , , , , 
411594.0, IMU_DATA, 111, -156, -12, 143, 16279, -356, , , , , 
416394.0, IMU_DATA, 102, -156, -20, 151, 16272, -370, , , , , 
421194.0, IMU_DATA, 95, -158, -29, 148, 16278, -354, , , , , 
425994.0, IMU_DATA, 103, -162, -40, 163, 16289, -380, , , , , 
430794.0, IMU_DATA, 110, -166, -45, 145, 16300, -343, , , , , 
435594.0, IMU_DATA, 108, -169, -33, 148, 16292, -336, , , , , 
440394.0, IMU_DATA, 111, -167, -22, 136, 16281, -357, , , , , 
445194.0, IMU_DATA, 124, -170, -23, 156, 16287, -340, , , , , 
449994.0, IMU_DATA, 131, -192, -30, 123, 16292, -343, , , , , 
454794.0, IMU_DATA, 110, -184, -30, 152, 16269, -352, , , , , 
459594.0, IMU_DATA, 108, -163, -11, 169, 16262, -340, , , , , 
464394.0, IMU_DATA, 121, -169, -5, 189, 16266, -328, , , , , 
469194.0, IMU_DATA, 107, -157, -20, 131, 16306, -308, , , , , 
473994.0, IMU_DATA, 109, -154, -21, 160, 16272, -326, , , , , 
478794.0, IMU_DATA, 101, -158, -20, 186, 16285, -320, , , , , 
483594.0, IMU_DATA, 89, -149, -14, 137, 16282, -322, , , , , 
488394.0, IMU_DATA, 100, -147, -18, 155, 16265, -324, , , , , 
493194.0, IMU_DATA, 119, -164, -29, 157, 16287, -333, , , , , 
497994.0, IMU_DATA, 127, -181, -36, 171, 16279, -329, , , , , 
502794.0, IMU_DATA, 142, -199, -34, 127, 16289, -320, , , , , 
507594.0, IMU_DATA, 137, -193, -31, 140, 16253, -355, , , , , 
478678, IMG_DATA, , , , , , , , , , Image_00005 
512394.0, IMU_DATA, 125, -180, -27, 138, 16297, -364, , , , , 
517194.0, IMU_DATA, 120, -178, -30, 151, 16282, -350, , , , , 
521994.0, IMU_DATA, 110, -167, -28, 140, 16275, -332, , , , , 
526794.0, IMU_DATA, 105, -164, -29, 140, 16283, -368, , , , , 
531594.0, IMU_DATA, 102, -160, -21, 147, 16271, -336, , , , , 
536394.0, IMU_DATA, 109, -163, -16, 154, 16274, -380, , , , , 
541194.0, IMU_DATA, 121, -160, -12, 150, 16269, -383, , , , , 
545994.0, IMU_DATA, 132, -159, -12, 143, 16285, -373, , , , , 
550794.0, IMU_DATA, 138, -171, -15, 156, 16275, -366, , , , , 
555594.0, IMU_DATA, 140, -192, -23, 134, 16292, -374, , , , , 
560394.0, IMU_DATA, 119, -185, -21, 160, 16277, -364, , , , , 
565194.0, IMU_DATA, 89, -180, -21, 140, 16279, -365, , , , , 
569994.0, IMU_DATA, 81, -182, -16, 136, 16287, -346, , , , , 
574794.0, IMU_DATA, 107, -184, -15, 176, 16266, -358, , , , , 
579594.0, IMU_DATA, 120, -176, -15, 164, 16270, -380, , , , , 
584394.0, IMU_DATA, 126, -173, -25, 160, 16250, -372, , , , , 
589194.0, IMU_DATA, 120, -152, -27, 142, 16298, -329, , , , , 
593994.0, IMU_DATA, 106, -143, -19, 143, 16294, -325, , , , , 
598794.0, IMU_DATA, 106, -161, -14, 133, 16291, -335, , , , , 
603594.0, IMU_DATA, 124, -194, -21, 147, 16298, -325, , , , , 
608394.0, IMU_DATA, 107, -185, -19, 125, 16302, -330, , , , , 
613194.0, IMU_DATA, 101, -180, -24, 153, 16267, -332, , , , , 
578677, IMG_DATA, , , , , , , , , , Image_00006 
617994.0, IMU_DATA, 104, -157, -31, 169, 16290, -311, , , , , 
622794.0, IMU_DATA, 100, -148, -33, 152, 16260, -317, , , , , 
627594.0, IMU_DATA, 107, -149, -27, 166, 16258, -315, , , , , 
632394.0, IMU_DATA, 108, -156, -18, 161, 16273, -332, , , , , 
637194.0, IMU_DATA, 117, -154, -22, 156, 16261, -328, , , , , 
641994.0, IMU_DATA, 111, -144, -22, 147, 16276, -328, , , , , 
646794.0, IMU_DATA, 94, -151, -19, 150, 16276, -345, , , , , 
651594.0, IMU_DATA, 105, -156, -22, 178, 16274, -339, , , , , 
656394.0, IMU_DATA, 118, -172, -24, 157, 16273, -363, , , , , 
661194.0, IMU_DATA, 110, -168, -18, 159, 16295, -364, , , , , 
665994.0, IMU_DATA, 104, -145, -19, 151, 16280, -352, , , , , 
670794.0, IMU_DATA, 101, -138, -26, 121, 16285, -356, , , , , 
675594.0, IMU_DATA, 103, -152, -24, 151, 16289, -365, , , , , 
680394.0, IMU_DATA, 97, -161, -22, 179, 16269, -392, , , , , 
685194.0, IMU_DATA, 88, -170, -26, 139, 16260, -346, , , , , 
689994.0, IMU_DATA, 90, -185, -26, 162, 16298, -371, , , , , 
694794.0, IMU_DATA, 92, -182, -24, 179, 16273, -356, , , , , 
699594.0, IMU_DATA, 112, -170, -23, 151, 16272, -346, , , , , 
704394.0, IMU_DATA, 109, -160, -19, 155, 16274, -363, , , , , 
709194.0, IMU_DATA, 108, -168, -23, 190, 16271, -373, , , , , 
713994.0, IMU_DATA, 124, -183, -28, 131, 16286, -346, , , , , 
718794.0, IMU_DATA, 127, -175, -19, 159, 16285, -349, , , , , 
678678, IMG_DATA, , , , , , , , , , Image_00007 
723594.0, IMU_DATA, 111, -152, -20, 133, 16280, -358, , , , , 
728394.0, IMU_DATA, 99, -145, -20, 164, 16278, -356, , , , , 
733194.0, IMU_DATA, 106, -145, -7, 152, 16287, -344, , , , , 
737994.0, IMU_DATA, 110, -151, -8, 149, 16283, -333, , , , , 
742794.0, IMU_DATA, 100, -163, -21, 148, 16296, -342, , , , , 
747594.0, IMU_DATA, 100, -158, -14, 163, 16261, -331, , , , , 
752394.0, IMU_DATA, 101, -158, 0, 150, 16272, -320, , , , , 
757194.0, IMU_DATA, 97, -159, -11, 167, 16282, -340, , , , , 
761994.0, IMU_DATA, 116, -170, -22, 172, 16256, -336, , , , , 
766794.0, IMU_DATA, 133, -187, -27, 172, 16266, -338, , , , , 
771594.0, IMU_DATA, 124, -184, -32, 174, 16289, -329, , , , , 
776394.0, IMU_DATA, 123, -182, -25, 143, 16295, -326, , , , , 
781194.0, IMU_DATA, 122, -163, -17, 154, 16282, -343, , , , , 
785994.0, IMU_DATA, 104, -151, -22, 157, 16270, -334, , , , , 
790794.0, IMU_DATA, 81, -144, -28, 166, 16277, -331, , , , , 
795594.0, IMU_DATA, 77, -139, -20, 152, 16292, -363, , , , , 
800394.0, IMU_DATA, 80, -146, -24, 147, 16280, -351, , , , , 
805194.0, IMU_DATA, 65, -134, -26, 95, 16314, -352, , , , , 
809994.0, IMU_DATA, 90, -144, -20, 137, 16280, -340, , , , , 
814794.0, IMU_DATA, 116, -148, -8, 139, 16278, -352, , , , , 
819594.0, IMU_DATA, 106, -146, -2, 200, 16253, -374, , , , , 
824394.0, IMU_DATA, 77, -148, -15, 107, 16299, -351, , , , , 
778666, IMG_DATA, , , , , , , , , , Image_00008 
829194.0, IMU_DATA, 86, -180, -18, 116, 16299, -358, , , , , 
833994.0, IMU_DATA, 99, -178, -26, 132, 16289, -361, , , , , 
838794.0, IMU_DATA, 112, -164, -28, 137, 16281, -367, , , , , 
843594.0, IMU_DATA, 111, -154, -24, 117, 16288, -382, , , , , 
848394.0, IMU_DATA, 113, -149, -35, 148, 16291, -360, , , , , 
853194.0, IMU_DATA, 110, -154, -35, 143, 16290, -348, , , , , 
857994.0, IMU_DATA, 99, -167, -39, 140, 16273, -347, , , , , 
862794.0, IMU_DATA, 86, -172, -40, 146, 16268, -354, , , , , 
867594.0, IMU_DATA, 80, -158, -36, 170, 16278, -350, , , , , 
872394.0, IMU_DATA, 97, -142, -31, 157, 16278, -352, , , , , 
877194.0, IMU_DATA, 129, -149, -30, 150, 16270, -356, , , , , 
881994.0, IMU_DATA, 139, -170, -33, 154, 16275, -345, , , , , 
886794.0, IMU_DATA, 106, -172, -35, 142, 16281, -338, , , , , 
891594.0, IMU_DATA, 88, -148, -27, 130, 16292, -340, , , , , 
896394.0, IMU_DATA, 102, -154, -24, 176, 16282, -332, , , , , 
901194.0, IMU_DATA, 140, -186, -28, 154, 16278, -316, , , , , 
905994.0, IMU_DATA, 150, -199, -27, 134, 16290, -335, , , , , 
910794.0, IMU_DATA, 136, -168, -25, 143, 16298, -337, , , , , 
915594.0, IMU_DATA, 121, -149, -32, 153, 16284, -326, , , , , 
920394.0, IMU_DATA, 117, -162, -42, 148, 16275, -341, , , , , 
925194.0, IMU_DATA, 108, -171, -41, 138, 16293, -328, , , , , 
929994.0, IMU_DATA, 115, -166, -30, 146, 16266, -347, , , , , 
878677, IMG_DATA, , , , , , , , , , Image_00009 
934794.0, IMU_DATA, 123, -157, -18, 164, 16276, -336, , , , , 
939594.0, IMU_DATA, 129, -170, -23, 141, 16280, -376, , , , , 
944394.0, IMU_DATA, 119, -159, -32, 162, 16276, -348, , , , , 
949194.0, IMU_DATA, 112, -153, -26, 141, 16284, -361, , , , , 
953994.0, IMU_DATA, 103, -172, -17, 148, 16274, -360, , , , , 
958794.0, IMU_DATA, 105, -169, -23, 140, 16273, -366, , , , , 
963594.0, IMU_DATA, 106, -167, -34, 145, 16270, -364, , , , , 
968394.0, IMU_DATA, 111, -173, -33, 136, 16293, -367, , , , , 
973194.0, IMU_DATA, 110, -169, -36, 162, 16269, -360, , , , , 
977994.0, IMU_DATA, 102, -157, -26, 123, 16268, -360, , , , , 
982794.0, IMU_DATA, 130, -170, -13, 126, 16299, -363, , , , , 
987594.0, IMU_DATA, 138, -168, -13, 156, 16292, -364, , , , , 
992394.0, IMU_DATA, 108, -149, -21, 121, 16297, -362, , , , , 
997194.0, IMU_DATA, 88, -142, -25, 147, 16279, -359, , , , , 
1.00199e+06, IMU_DATA, 83, -149, -23, 154, 16258, -364, , , , , 
1.00679e+06, IMU_DATA, 104, -158, -19, 169, 16261, -362, , , , , 
1.01159e+06, IMU_DATA, 127, -171, -21, 160, 16268, -358, , , , , 
1.01639e+06, IMU_DATA, 127, -176, -21, 157, 16286, -339, , , , , 
1.02119e+06, IMU_DATA, 127, -174, -20, 141, 16301, -338, , , , , 
1.02599e+06, IMU_DATA, 133, -180, -19, 153, 16277, -339, , , , , 
1.03079e+06, IMU_DATA, 122, -165, -19, 158, 16274, -347, , , , , 
1.03559e+06, IMU_DATA, 109, -145, -18, 197, 16258, -364, , , , , 
978667, IMG_DATA, , , , , , , , , , Image_00010 
1.04039e+06, IMU_DATA, 115, -134, -15, 139, 16288, -350, , , , , 
1.04519e+06, IMU_DATA, 110, -164, -11, 154, 16292, -349, , , , , 
1.04999e+06, IMU_DATA, 107, -184, -28, 152, 16261, -330, , , , , 
1.05479e+06, IMU_DATA, 114, -170, -46, 170, 16268, -340, , , , , 
1.05959e+06, IMU_DATA, 119, -149, -36, 132, 16291, -332, , , , , 
1.06439e+06, IMU_DATA, 115, -155, -22, 172, 16276, -344, , , , , 
1.06919e+06, IMU_DATA, 99, -163, -21, 154, 16281, -330, , , , , 
1.07399e+06, IMU_DATA, 108, -162, -25, 162, 16291, -344, , , , , 
1.07879e+06, IMU_DATA, 115, -168, -24, 150, 16269, -369, , , , , 
1.08359e+06, IMU_DATA, 104, -171, -16, 142, 16281, -352, , , , , 
1.08839e+06, IMU_DATA, 109, -172, -19, 155, 16281, -373, , , , , 
1.09319e+06, IMU_DATA, 100, -143, -24, 152, 16291, -352, , , , , 
